<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.08	1.09419	1.09788	1.09226	1.09502	73979	0	0
2024.01.09	1.09500	1.09663	1.09105	1.09311	79153	0	0
2024.01.10	1.09311	1.09732	1.09229	1.09725	69659	0	0
2024.01.11	1.09721	1.09994	1.09303	1.09721	105034	0	0
2024.01.12	1.09722	1.09870	1.09360	1.09490	86163	0	0
2024.01.15	1.09470	1.09676	1.09335	1.09485	51225	0	0
2024.01.16	1.09489	1.09510	1.08622	1.08751	101914	0	0
2024.01.17	1.08748	1.08845	1.08446	1.08827	92158	0	0
2024.01.18	1.08815	1.09068	1.08467	1.08759	90352	0	0
2024.01.19	1.08762	1.08979	1.08656	1.08974	78390	0	0
2024.01.22	1.08899	1.09095	1.08800	1.08823	68008	0	0
2024.01.23	1.08822	1.09160	1.08216	1.08544	75044	0	0
2024.01.24	1.08548	1.09324	1.08439	1.08845	88174	0	0
2024.01.25	1.08844	1.09019	1.08217	1.08461	91604	0	0
2024.01.26	1.08461	1.08857	1.08129	1.08511	77722	0	0
2024.01.29	1.08431	1.08502	1.07959	1.08327	62364	0	0
2024.01.30	1.08327	1.08572	1.08120	1.08456	73066	0	0
2024.01.31	1.08457	1.08874	1.07948	1.08181	127792	0	0
2024.02.01	1.08179	1.08748	1.07799	1.08715	111882	0	0
2024.02.02	1.08715	1.08975	1.07805	1.07861	97642	0	0
2024.02.05	1.07819	1.07864	1.07233	1.07426	83133	0	0
2024.02.06	1.07427	1.07624	1.07226	1.07546	82989	0	0
2024.02.07	1.07542	1.07840	1.07496	1.07718	81755	0	0
2024.02.08	1.07718	1.07889	1.07416	1.07775	77014	0	0
2024.02.09	1.07776	1.07950	1.07621	1.07848	76900	0	0
2024.02.12	1.07809	1.08057	1.07559	1.07718	63688	0	0
2024.02.13	1.07715	1.07969	1.07005	1.07089	86737	0	0
2024.02.14	1.07088	1.07344	1.06948	1.07265	79164	0	0
2024.02.15	1.07263	1.07848	1.07234	1.07722	77736	0	0
2024.02.16	1.07710	1.07875	1.07321	1.07731	79220	0	0
2024.02.19	1.07725	1.07894	1.07621	1.07790	42849	0	0
2024.02.20	1.07791	1.08388	1.07617	1.08076	80511	0	0
2024.02.21	1.08073	1.08243	1.07899	1.08186	81059	0	0
2024.02.22	1.08185	1.08885	1.08028	1.08227	83759	0	0
2024.02.23	1.08227	1.08397	1.08118	1.08196	75347	0	0
2024.02.26	1.08292	1.08598	1.08127	1.08509	63149	0	0
2024.02.27	1.08506	1.08659	1.08330	1.08441	65526	0	0
2024.02.28	1.08441	1.08470	1.07966	1.08380	69068	0	0
2024.02.29	1.08379	1.08559	1.07959	1.08052	89863	0	0
2024.03.01	1.07981	1.08432	1.07981	1.08392	76718	0	0
2024.03.04	1.08369	1.08668	1.08369	1.08557	62331	0	0
2024.03.05	1.08556	1.08762	1.08401	1.08565	68525	0	0
2024.03.06	1.08541	1.09154	1.08422	1.08986	80429	0	0
2024.03.07	1.08979	1.09492	1.08679	1.09480	78869	0	0
2024.03.08	1.09478	1.09812	1.09182	1.09376	89487	0	0
2024.03.10	1.09384	1.09405	1.09357	1.09392	516	0	9
2024.03.11	1.09391	1.09480	1.09146	1.09257	66419	0	0
2024.03.12	1.09259	1.09439	1.09023	1.09268	78548	0	0
2024.03.13	1.09270	1.09638	1.09201	1.09489	66771	0	0
2024.03.14	1.09488	1.09548	1.08807	1.08858	72017	0	0
2024.03.15	1.08858	1.08997	1.08730	1.08851	59704	0	0
2024.03.17	1.08894	1.08900	1.08783	1.08879	658	0	17
2024.03.18	1.08873	1.09062	1.08660	1.08730	50236	0	0
2024.03.19	1.08736	1.08766	1.08348	1.08655	66583	0	0
2024.03.20	1.08656	1.09231	1.08365	1.09208	69823	0	0
2024.03.21	1.09208	1.09426	1.08554	1.08608	79310	0	0
2024.03.22	1.08621	1.08681	1.08018	1.08063	59474	0	0
2024.03.24	1.08077	1.08104	1.08071	1.08077	164	0	5
2024.03.25	1.08077	1.08425	1.08022	1.08365	51370	0	0
2024.03.26	1.08365	1.08643	1.08243	1.08319	55124	0	0
2024.03.27	1.08325	1.08391	1.08108	1.08267	55621	0	0
2024.03.28	1.08267	1.08269	1.07751	1.07891	64095	0	0
2024.03.29	1.07892	1.08058	1.07682	1.07878	38396	0	0
2024.04.01	1.07892	1.07989	1.07310	1.07431	50335	0	0
2024.04.02	1.07431	1.07791	1.07246	1.07691	58263	0	0
2024.04.03	1.07687	1.08369	1.07640	1.08360	59974	0	0
2024.04.04	1.08358	1.08765	1.08312	1.08368	55270	0	0
2024.04.05	1.08366	1.08480	1.07914	1.08362	72461	0	0
2024.04.08	1.08359	1.08622	1.08209	1.08592	55651	0	0
2024.04.09	1.08591	1.08851	1.08477	1.08570	54241	0	0
2024.04.10	1.08562	1.08598	1.08478	1.08536	16328	0	0
